target,my_your_sabun_x,my_your_sabun_y,my_ball_sabun_x,my_ball_sabun_y,your_ball_sabun_x,your_ball_sabun_y
0,4.071171629,3.107512251,2.526676511,0.796372245,2.47315699,2.311140006
0,3.23889636,3.686259874,1.616901438,1.339523452,3.351044214,5.025783327
0,4.594667783,2.114010925,4.188583499,1.359414053,4.465694678,0.754596872
0,3.556818333,3.188008292,3.525462427,0.42281624,3.435846818,3.610824532
0,3.90353988,2.738878779,2.506086402,2.867309764,3.410664314,0.128430985
0,4.909002209,1.490945533,3.661208196,2.780492347,3.610105067,4.271437881
0,3.773221832,2.620779541,3.17527231,0.708686151,3.320809448,3.329465691
0,3.37735715,1.136886743,2.945493685,0.12793462,3.47228406,1.008952123
0,4.813142826,0.997696352,3.905996777,2.390814887,3.793410743,3.38851124
0,3.403620062,3.256264267,1.8151587,0.118010318,1.776864601,3.138253949
0,3.256317089,2.406924069,2.364825117,2.644505724,3.213205272,5.051429793
0,3.315025001,2.545603215,0.857985723,2.659500608,1.725356905,0.113897393
0,4.874443877,2.594966943,2.699573683,0.37425995,0.857377163,2.220706993
0,3.445531006,1.306453005,2.522789154,1.086753272,2.340045975,2.393206277
0,3.584944078,1.227176762,1.765140347,0.608925271,3.161555583,0.618251491
0,4.930474108,0.587233302,4.596319153,0.607994056,3.737674426,0.020760754
0,4.826130656,2.290460996,2.719494368,0.953168296,1.256024548,3.243629292
0,4.250508697,2.988413318,1.474057193,1.358357393,0.592173469,1.630055925
0,3.251934374,2.501876254,2.294855911,0.552869213,3.007663172,3.054745467
0,3.347493587,3.431377723,1.554415781,0.747654003,2.577616659,4.179031726
0,4.542151446,2.024648811,3.798034719,0.504573093,3.176176653,1.520075718
0,4.54160836,2.213277748,3.0310761,1.080863594,3.213536851,3.294141341
0,4.539717689,2.660389532,1.742724248,1.706211284,2.06223386,0.954178248
0,3.414065942,2.194990361,0.77770761,2.826883192,1.02710769,0.63189283
0,4.906322406,2.184867067,2.114221327,3.369198917,2.031686374,5.554065983
0,4.215487753,3.252601464,3.237616332,2.464780826,2.152603566,0.787820638
0,3.296197362,2.623264774,2.100324998,1.549705693,3.445284957,4.172970467
0,4.271921612,2.161018711,3.795106826,0.143806788,2.800715586,2.017211923
0,3.659851631,1.868772846,3.641178611,2.678466825,3.343898065,4.547239671
